agent_id,team,hire_date,location
A0001,Tier 2,2024-08-28,Lisbon
A0002,Tier 2,2023-10-29,Bucharest
A0003,Tier 1,2024-04-20,Bucharest
A0004,Tier 2,2023-08-20,Bucharest
A0005,Specialist,2022-08-08,Bucharest
A0006,Tier 1,2023-03-21,Remote
A0007,Tier 1,2022-09-04,Bucharest
A0008,Specialist,2023-03-11,Bucharest
A0009,Specialist,2022-05-07,Lisbon
A0010,Specialist,2023-10-05,Bucharest
A0011,Specialist,2023-08-23,Remote
A0012,Tier 1,2024-09-26,Lisbon
A0013,Tier 1,2023-07-25,Lisbon
A0014,Tier 2,2023-03-06,Lisbon
A0015,Specialist,2022-05-01,Manila
A0016,Specialist,2024-04-15,Lisbon
A0017,Tier 1,2023-08-19,Lisbon
A0018,Tier 2,2022-04-10,Bucharest
A0019,Specialist,2022-03-03,Lisbon
A0020,Tier 2,2023-11-28,Remote
A0021,Tier 2,2023-04-22,Remote
A0022,Tier 2,2022-11-03,Lisbon
A0023,Tier 1,2023-12-17,Lisbon
A0024,Tier 1,2023-08-12,Manila
A0025,Specialist,2023-05-22,Manila
A0026,Specialist,2023-04-05,Manila
A0027,Specialist,2022-03-16,Bucharest
A0028,Specialist,2023-03-05,Lisbon
A0029,Tier 2,2022-06-05,Remote
A0030,Tier 2,2022-02-10,Bucharest
A0031,Specialist,2023-08-10,Manila
A0032,Tier 2,2023-12-13,Manila
A0033,Specialist,2023-05-24,Remote
A0034,Tier 1,2024-05-10,Bucharest
A0035,Tier 2,2023-05-01,Bucharest
A0036,Tier 1,2024-01-19,Manila
A0037,Specialist,2023-08-15,Remote
A0038,Tier 2,2024-01-04,Remote
A0039,Specialist,2022-12-22,Bucharest
A0040,Tier 2,2022-12-30,Lisbon
A0041,Specialist,2022-04-30,Remote
A0042,Tier 1,2022-08-12,Manila
A0043,Tier 1,2024-01-27,Lisbon
A0044,Tier 2,2023-02-05,Remote
A0045,Tier 1,2022-06-20,Remote
A0046,Tier 2,2023-07-17,Manila
A0047,Tier 1,2024-04-18,Remote
A0048,Specialist,2022-10-13,Remote
A0049,Tier 2,2023-12-01,Remote
A0050,Tier 1,2022-06-04,Bucharest
A0051,Tier 1,2022-06-04,Lisbon
A0052,Specialist,2022-08-27,Bucharest
A0053,Tier 2,2024-05-01,Lisbon
A0054,Tier 2,2022-10-16,Bucharest
A0055,Tier 1,2023-03-06,Manila
A0056,Specialist,2023-08-03,Manila
A0057,Tier 1,2023-12-09,Bucharest
A0058,Tier 2,2024-07-10,Remote
A0059,Tier 2,2023-02-13,Remote
A0060,Tier 1,2023-05-09,Remote
