ticket_id,brand,channel,category,priority,created_at,resolved_at,agent_id,satisfaction_score
T0000026,KAYAK,email,General Query,Medium,2025-05-25 16:08:00,,A0006,
T0000162,priceline,chat,TECHNICAL ISSUE,Medium,26/08/2024 01:17,2024-08-26 17:10:24,A0057,
T0002157,KAYAK,phone,Booking Change,High,2025-01-08 21:52:00,2025-01-09 02:20:48,A0053,
T0002559,Booking.com,social,BOOKING CHANGE,Medium,2025-02-04 03:20:00,2025-02-04 05:17:36,A0032,
T0001043,priceline,chat,general query,Low,2025-01-10 22:27:00,2025-01-11 03:31:12,A0034,
T0001827,KAYAK,phone,Billing,Urgent,2024-11-23 02:07:00,,A0037,
T0001125,Booking.com,email,BILLING,Low,2025-04-09 10:26:00,2025-04-09 11:14:00,A0015,5
T0001213,agoda,email,Billing,Medium,2025-04-23 11:50:00,2025-04-24 02:24:48,A0050,2
T0000523,Booking.com,phone,booking change,Low,2025-03-25 11:58:00,2025-03-25 19:26:48,A0038,6
T0003860,agoda,chat,Cancellation,High,2024-06-05 06:25:00,2024-06-05 10:20:12,A0046,2
T0000303,KAYAK,Email,Technical Issue,Medium,2024-06-16 07:41:00,2024-06-16 09:51:48,A0019,4
T0000721,KAYAK,social,General Query,Urgent,2024-10-21 10:33:00,2024-10-21 13:42:36,A0029,1
T0001538,agoda,chat,Billing,Medium,2025-01-11 22:30:00,,A0057,
T0002642,agoda,phone,General Query,Low,2024-09-01 23:25:00,2024-09-02 08:10:00,A0023,3
T0003581,Booking.com,phone,General Query,Low,2025-01-24 23:23:00,2025-01-25 01:15:48,A0050,3
T0002383,KAYAK,phone,Billing,Low,2024-09-23 11:50:00,2024-09-23 13:06:12,A0034,4
T0004034,agoda,chat,General Query,Low,16/02/2025 11:25,2025-02-16 17:53:12,A0016,
T0000248,agoda,chat,General Query,Low,2025-03-19 17:02:00,2025-03-19 20:53:36,A0001,2
T0002865,priceline,phone,CANCELLATION,High,2024-07-22 09:31:00,2024-07-22 13:47:48,A0059,1
T0001214,Booking.com,social,Booking Change,Low,19/10/2024 15:16,2024-10-20 04:55:00,A0003,2
T0001610,priceline,social,Billing,Low,2025-05-30 23:37:00,2025-05-31 07:10:00,A0028,5
T0001152,agoda,chat,Billing,Medium,2024-11-02 20:10:00,2024-11-03 13:03:24,A0012,10
T0003065,priceline,phone,Technical Issue,Urgent,2025-05-03 01:21:00,2025-05-03 07:53:24,A0040,4
T0000877,KAYAK,phone,General Query,Medium,2025-05-21 15:28:00,2025-05-21 23:28:00,A0025,
T0002978,agoda,chat,Booking Change ,High,2025-05-02 15:03:00,2025-05-03 05:46:12,A0012,1
T0001648,Booking.com,chat,technical issue,Urgent,2025-01-30 00:33:00,2025-01-30 10:01:48,A0009,4
T0002322,priceline,chat,Billing,High,25/05/2025 23:07,,A0012,
T0004603,priceline,SOCIAL,Technical Issue ,High,01/10/2024 06:18,,A0021,
T0003331,KAYAK,social,Technical Issue,High,2024-10-07 06:41:00,2024-10-07 10:21:48,A0044,3
T0003489,agoda,social,Technical Issue ,Medium,2025-03-09 15:00:00,2025-03-09 22:42:00,A0017,
T0000499,priceline,phone,Booking Change,High,2024-12-28 19:11:00,2024-12-28 22:44:36,A0017,5
T0001725,priceline,chat,Billing,Low,2025-03-27 04:51:00,2025-03-27 08:28:48,A0033,2
T0000700,agoda,social,BILLING,Medium,2025-04-15 22:58:00,2025-04-15 23:47:48,A0035,
T0003790,priceline,chat,Cancellation,Low,2025-02-25 07:02:00,2025-02-25 11:14:36,A0003,
T0003722,agoda,phone,CANCELLATION,Low,30/12/2024 10:44,2024-12-30 22:42:12,A0039,
T0002355,agoda,chat,booking change,Medium,2024-08-13 06:11:00,,A0029,
T0004783,agoda,social,Booking Change,Low,07/11/2024 11:16,2024-11-07 12:25:00,A0057,6
T0004151,agoda,chat,Cancellation,Urgent,2025-04-24 22:29:00,,A0015,
T0001168,Booking.com,phone,General Query,High,2024-10-07 14:52:00,2024-10-07 19:36:24,A0008,5
T0002326,KAYAK,social,Booking Change ,Urgent,2025-01-01 11:50:00,,A0015,
T0003763,KAYAK,chat,General Query ,Medium,2025-02-14 08:01:00,2025-02-15 02:05:48,A0046,
T0002774,Booking.com,email,Cancellation,Low,2024-11-21 20:55:00,2024-11-22 00:11:48,A0006,2
T0004931,priceline,phone,Billing ,High,2025-02-21 01:24:00,,A0060,
T0001180,agoda,email,Technical Issue,High,2024-10-07 00:53:00,,A0020,
T0000154,agoda,chat,Booking Change,Low,2025-01-10 18:24:00,2025-01-10 19:20:24,A0002,
T0000647,priceline,chat,Cancellation,High,13/03/2025 05:24,2025-03-13 14:10:12,A0034,1
T0000021,Booking.com,social,Cancellation,Medium,2025-02-14 17:12:00,2025-02-14 19:39:36,A0022,4
T0003220,priceline,social,TECHNICAL ISSUE,High,03/05/2025 01:05,2025-05-03 11:30:12,A0039,8
T0001511,priceline,phone,Booking Change,High,23/01/2025 23:37,2025-01-24 08:35:12,A0058,4
T0004950,Booking.com,Email,Billing,Urgent,20/02/2025 19:21,2025-02-21 14:23:24,A0040,2
T0002945,priceline,email,Technical Issue,Low,2024-06-25 22:10:00,2024-06-26 11:29:12,A0043,
T0000602,KAYAK,chat,TECHNICAL ISSUE,Low,2025-02-23 05:00:00,2025-02-23 17:40:48,A0026,
T0002725,priceline,phone,billing,Urgent,2025-05-05 00:14:00,2025-05-05 05:22:24,A0002,2
T0001800,priceline,email,Technical Issue,Medium,04/12/2024 20:32,2024-12-05 02:02:36,A0008,1
T0004359,agoda,social,General Query,High,27/04/2025 18:11,2025-04-27 19:05:00,A0028,3
T0001160,agoda,social,Billing,Low,2024-08-24 15:07:00,2024-08-25 09:44:12,A0030,9
T0000648,agoda,email,BILLING,Low,2024-06-16 16:07:00,2024-06-16 18:02:12,A0050,3
